site,Lat,Lon,Perpendicular
Ashdod,31.83,34.63,301
Ashkelon,31.68,34.56,306
Atlit,32.69,34.92,288
Bank,32.22,34.81,293
Bardawil,31.16,33.24,360
Barmuda,NA,NA,NA
Bat_Yam,32.02,34.73,286
bet_yanai,32.38,34.86,289
black hill ,32,34.74,283
borot,31.83,34.63,301
Caesarea,32.52,34.9,286
Carmel ,32.825,34.96,274
Chan Yunes,31.35,34.27,313
daniel hotel ,32.14,34.79,300
Dir_El_Balach,31.35,34.33,313
Dovra,31.68,34.56,306
Dromi,31.74,34.6,303
El_arish,31.125,33.79,339
elctrodag ,32.15,34.79,285
Falick,32.26,34.83,300
Gaash,32.23,34.81,293
Gal Ram,31.9,34.7,285
Gaza,31.6,34.48,310
Hadera,32.438,34.88,288
Han_Yones,31.35,34.27,313
Hasi,31.6,34.48,310
hbonim ,32.64,34.92,283
Herzelia,32.17,34.8,298
Jaffa,32.05,34.74,296
Katza,31.63,34.51,306
Keles,32.825,34.96,274
Kluvim,31.77,34.62,301
Kor,31.9,34.67,297
Maavar Malita,31.98,34.73,293
Madregot,32.075,34.76,287
Matos,NA,NA,NA
Michmoret,32.4,34.86,286
Mistach,31.1,33.66,355
Natania,32.33,34.85,300
Ne-urim ,32.38,34.86,289
Nitzanim,31.7,34.6,304
North ,31.83,34.63,301
Olga,32.438,34.88,288
Palmachim ,31.9,34.7,285
Petach ,31.83,34.63,301
Poleg,32.16,34.49,298
Polyvalenti ,NA,NA,NA
port sahid,31.31,32.15,27
Rafiach,31.325,34.22,320
Riding,32.1,34.77,285
Rishon,31.98,34.72,293
Robin,32.4,34.86,286
Roki ,31.9,34.7,285
solhan ,31.1,33.66,355
South ,31.83,34.63,301
south vadi ,31.83,34.63,301
Tel_aviv,32.08,34.74,285
Tzfoni,31.85,34.41,295
Tzinor biuv,31.86,34.66,301
Tzinor gas,31.79,34.23,301
Tzinorot,31.825,34.445,303
vitkin ,32.4,34.86,286
Yamit,31.29,34.13,320
Zichron,32.575,34.91,279
Zikim,31.61,34.48,310
