Sp_code,Sceintific_name,Common_name
Sig,Siganus rivulatus/Siganus luridus,Aars
Sig,Siganus rivulatus/Siganus luridus,Aras
Rrh,Rhinobatos rhinobatos,Alafuchim
Eer,Engraulis encrasicolus,Anshubi
Mme,Merluccius merluccius,Bakala
Mme,Merluccius merluccius,Bakala_masmerim
Nra,Nemipterus randalli,Barbon
Nra,Nemipterus randalli,barbon_vadim
MUL_UP,Mullus/Upeneus sp. (Mullus barbatus/Mullus surmuletus/Upeneus pori/Upeneus moluccensis),barbunia
Aal,Alectis alexandrinus ,Ben_Gurion
Mce,Mugil cephalus/Liza sp. (Liza aurata/Liza ramada),Bori
BOX,General_box,General_Box_col_a
BOX,General_box,General_Kg_from_comments
BOX,General_box,General_Box
BOX,General_box,Box_general_from_comments
BOX,General_box,Box_General
BOX,General_box,Chinise_gambari
Pse,Portunus segnis,Crab
Eha,Epinephelus haifensis,Daba
EPI,Epinephelus sp. (Epinephelus marginatus/Epinephelus aeneus),Daorim
Sau,Sparus aurata,Denis
Pca,Pagrus caeruleostictus,Farida
FIS,Fish_box,Fish
Pja,Penaeus japonicus,Gambari
Mae,Metapenaeopsis aegyptia,Gambari_Adom
Sma,Squilla mantis/Erugosquilla massavensis,Gambari_castina
Nra,Nemipterus randalli,Gerbid_new
Per,Pagellus erythrinus,Gerbida
Rrh,Rhinobatos rhinobatos,Gitara
Psa,Pomatomus saltator,Gomber
Bca,Balistes carolinensis,Hazir
Sud,Saurida undosquamis/Synodus saurus,Hulim
Sd,Seriola dumerili,Intias
Lvu,Loligo vulgaris,Kalamari
Sma,Squilla mantis/Erugosquilla massavensis,Kaptzonim
WHT,Lithognathus mormyrus/Diplodus sp. (Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo),Lavan
EPI,Epinephelus sp. (Epinephelus marginatus/Epinephelus aeneus),Lokus
EPI,Epinephelus sp. (Epinephelus marginatus/Epinephelus aeneus),Lokus_bibi
EPI,Epinephelus sp. (Epinephelus marginatus/Epinephelus aeneus),Lokus_manot
Sud,Saurida undosquamis/Synodus saurus,Makarunim
SPH,Sphyraena sp. (Sphyraena sphyraena/Sphyraena chrysotaenia/Sphyraena viridensis),Malitta
Lmo,lithognathus mormyrus,Marmir
Arg,Argyrosomus regius,musar_box
Arg,Argyrosomus regius,Musar
Sso,Solea solea,Muslach
Ovu,Octopus vulgaris,Octepus
Sco,scomberomorus commerson,Palamud
Umo,Upeneus moluccensis,Pas_Tzahov
Dce,Diplodus cervinus,Pijama
Bbo,Boops boops,Rofus
SPI,Spicara sp. (Spicara manena/Spicara smaris),Rofus_Fake
Sof,Sepia officinalis,Sabida
DIP,Diplodus sp. (Diplodus saragus/Diplodus vulgaris/Diplodus cervinus/Diplodus puntazoo),Saragus
SAR,Sardinella sp. (Sardinella aurita/Sardinella maderensis),Sardin
SAR,Sardinella sp. (Sardinella aurita/Sardinella maderensis),Round_sardin
SAR,Sardinella sp. (Sardinella aurita/Sardinella maderensis),Sardin_round
Sja,scomber japonicus,Scombri
Rrh,Rhinobatos rhinobatos,Shalpohim
Rrh,Rhinobatos rhinobatos,Salphuchim
Sha,,shark
Lbu,Lophius budegassa,Shed_Yam
Sso,Solea solea,Sol
Sso,Solea solea,Sol
MUL,Mullus sp. (Mullus barbatus/Mullus surmuletus),soltan_Adom
MUL,Mullus sp. (Mullus barbatus/Mullus surmuletus),Soltan
Upo,Upeneus pori,Soltan_Fake
Upo,Upeneus pori,Soltan_Fake
MUL_UP,Mullus/Upeneus sp. (Mullus barbatus/Mullus surmuletus/Upeneus pori/Upeneus moluccensis),Soltan_Mix
SPL,Fish_box_special,Special
Ovu,Octopus vulgaris,Tamnoon
TRA,Trachurus sp. (Trachurus trachurus/Trachurus mediterraneus),Tarachun
BAT,Batoidea (Superorder),Taref
Ssi,Sillago sihama,Televisia
Ccr,Caranx crysos/Alepes djedaba,Trulus
Sau,Sparus aurata,Tziporot
Pin,Pomadasys incisus,vak vak
Plo,Parapeneaus longirostris,Varod
Plo,Parapeneaus longirostris,Varod
